source,feature,ctcf_motif_cosine,mean_activation,activation_frequency
residual,378,0.06526171137388821,1.113405704498291,0.9743019375987824
residual,314,0.06485312327885506,1.0978604555130005,0.9765068586704131
residual,35,0.06471621884218344,1.1128125190734863,0.9776190754941559
residual,11,0.06469095163669565,1.0728983879089355,0.9768580850358056
residual,10,0.06425580269837611,1.0889396667480469,0.9746531639641749
residual,333,0.064192132368835,1.0701149702072144,0.9757263556362076
residual,450,0.06412016489403491,1.099509358406067,0.9767214970048196
residual,96,0.06391636023217113,1.1194766759872437,0.9770727233702121
residual,91,0.06386303114835,1.1125413179397583,0.9778922515561279
residual,311,0.06339993990547214,1.082063913345337,0.9761166071533103
residual,281,0.06332750394008932,1.0791945457458496,0.9754141544225253
residual,97,0.06304516654267538,1.079755187034607,0.9760580694257449
residual,169,0.06260489767105801,1.0744305849075317,0.9779898144354037
residual,51,0.062184825567523826,1.111722469329834,0.9762922203360066
residual,395,0.06204641804674812,1.0857833623886108,0.9764678335187028
residual,23,0.06163895373704563,1.0996235609054565,0.9737750980506936
residual,126,0.061445175067441876,1.0797781944274902,0.9751214657846983
residual,13,0.06074127405780097,1.056246042251587,0.9768775976116607
residual,111,0.060601305990796925,1.0936614274978638,0.9768580850358056
residual,167,0.060141367616355045,1.1070667505264282,0.9747897519951609
residual,27,0.06001117618193208,1.0720241069793701,0.9756873304844973
residual,290,0.05994471484391901,1.0743870735168457,0.9742629124470721
residual,297,0.059812568831348514,1.0990630388259888,0.9754141544225253
residual,443,0.05970496394335143,1.0836373567581177,0.9732482585026049
residual,149,0.059674647188576416,1.0974262952804565,0.9722531171339929
residual,248,0.05930585817276874,1.0774996280670166,0.9761166071533103
residual,309,0.05914583075588914,1.105610728263855,0.9786727545903334
residual,407,0.059106037249650405,1.095658540725708,0.9785166539834924
residual,328,0.05907001172251582,1.0977439880371094,0.9760775820016
residual,108,0.058626441677000894,1.06344473361969,0.9763312454877169
residual,14,0.058594503619519726,1.0918384790420532,0.9778727389802728
residual,261,0.05831063283369027,1.0654702186584473,0.9770727233702121
