source,feature,ctcf_motif_cosine,mean_activation,activation_frequency
mlp,273,-0.021750915040937114,0.5346195697784424,0.50048828125
mlp,167,-0.021843145432550167,0.5196556448936462,0.5029296875
mlp,149,-0.022084054893312662,0.5369451642036438,0.48681640625
mlp,179,-0.022107738745893182,0.5086536407470703,0.51123046875
mlp,454,-0.022231492994669914,0.47551441192626953,0.4951171875
mlp,469,-0.022310391112618216,0.5190369486808777,0.494140625
mlp,115,-0.022521149018844507,0.5042532682418823,0.47509765625
mlp,384,-0.02254297280955812,0.5150259733200073,0.48974609375
mlp,315,-0.022620504856733187,0.5515782833099365,0.48583984375
mlp,247,-0.022757250199480675,0.5101881623268127,0.478515625
mlp,489,-0.022931527019330943,0.5189619660377502,0.47314453125
mlp,377,-0.023305077388186896,0.5308340787887573,0.48095703125
mlp,506,-0.02340024970892864,0.5370709896087646,0.47998046875
mlp,95,-0.023432876143557085,0.5212121605873108,0.5
mlp,147,-0.023438781605497408,0.5790572166442871,0.49609375
mlp,294,-0.02364344762265013,0.5232547521591187,0.50390625
mlp,73,-0.023652353971624872,0.5419895052909851,0.51025390625
mlp,40,-0.02380880849560929,0.5208289623260498,0.4873046875
mlp,37,-0.02418570771071976,0.5217629671096802,0.4990234375
mlp,142,-0.02427472258564659,0.5060795545578003,0.4775390625
mlp,131,-0.024710433373363653,0.5658639669418335,0.50537109375
mlp,204,-0.025296904166447195,0.5155630111694336,0.48876953125
mlp,411,-0.025504522238945452,0.5475442409515381,0.49365234375
mlp,234,-0.025586811993315306,0.5251567363739014,0.4912109375
mlp,27,-0.02573645503839241,0.5109283924102783,0.48291015625
mlp,366,-0.025983595584804443,0.5314297676086426,0.49072265625
mlp,398,-0.026258082341770263,0.536024808883667,0.46923828125
mlp,222,-0.026273391297612216,0.47599393129348755,0.4775390625
mlp,299,-0.02662173944565646,0.5081496238708496,0.4755859375
mlp,390,-0.02666303039616076,0.5025323629379272,0.490234375
mlp,511,-0.0274463695604114,0.5156400799751282,0.49755859375
mlp,291,-0.028163044725660915,0.5537989139556885,0.5068359375
mlp,274,-0.02838198317697356,0.5034990906715393,0.4794921875
mlp,99,-0.02848897094945657,0.5568265914916992,0.50830078125
mlp,367,-0.028930302059720633,0.5459734201431274,0.47216796875
mlp,425,-0.029023737176486455,0.5277405381202698,0.50048828125
mlp,23,-0.029051215469415224,0.5159137845039368,0.494140625
mlp,355,-0.0296048452348031,0.5384251475334167,0.49267578125
mlp,47,-0.029727663595396497,0.5073952674865723,0.4931640625
mlp,107,-0.029776457120701063,0.5329660177230835,0.50244140625
mlp,224,-0.029920220921652575,0.5281193852424622,0.46728515625
mlp,187,-0.0300171077804626,0.5235294103622437,0.494140625
mlp,303,-0.030084005832158388,0.5541730523109436,0.4765625
mlp,497,-0.030097497009006942,0.5392320156097412,0.484375
mlp,145,-0.03043428853066709,0.5583639740943909,0.50146484375
mlp,146,-0.030707383539651738,0.4911700487136841,0.48583984375
mlp,298,-0.0307971293026386,0.46600341796875,0.4912109375
mlp,306,-0.03108444172571524,0.51850426197052,0.48046875
mlp,340,-0.032146680081929516,0.5249323844909668,0.490234375
mlp,464,-0.0324675591088454,0.5300553441047668,0.50048828125
mlp,453,-0.032651112422660646,0.5318692326545715,0.49462890625
mlp,368,-0.03273702998696321,0.49951300024986267,0.49365234375
mlp,289,-0.032820914793810115,0.5342103838920593,0.48779296875
mlp,45,-0.033074123925703594,0.5313614010810852,0.49267578125
mlp,262,-0.03321182976656612,0.5408239364624023,0.49951171875
mlp,220,-0.033596350110844754,0.5102890133857727,0.46875
mlp,164,-0.033860499000357126,0.5647265911102295,0.4912109375
mlp,81,-0.033880702277834074,0.5506043434143066,0.48583984375
mlp,198,-0.03388569457399936,0.47780078649520874,0.5
mlp,98,-0.03392506944415977,0.4945031702518463,0.4873046875
mlp,200,-0.033934707789194024,0.5288229584693909,0.48583984375
mlp,166,-0.03412238663414657,0.5327808856964111,0.48583984375
mlp,309,-0.034164950522549045,0.4978525936603546,0.48828125
mlp,387,-0.03445813262306426,0.5269885659217834,0.4912109375
mlp,304,-0.03445988531878701,0.5384083986282349,0.49072265625
mlp,380,-0.03448954450093052,0.496407687664032,0.4970703125
mlp,126,-0.03475149611703561,0.5227251052856445,0.48779296875
mlp,408,-0.035176214477844525,0.5202129483222961,0.49560546875
mlp,468,-0.035266121091498945,0.5688566565513611,0.48046875
mlp,456,-0.035755495799166905,0.5272108316421509,0.49169921875
mlp,12,-0.03601953171047055,0.5276824235916138,0.505859375
mlp,434,-0.03608952426426853,0.5074917674064636,0.494140625
mlp,405,-0.03623650302616132,0.538772463798523,0.49658203125
mlp,432,-0.03631700811989458,0.567774772644043,0.4833984375
mlp,493,-0.03635057086630827,0.5416977405548096,0.49853515625
mlp,163,-0.03672393117153949,0.5135037899017334,0.47802734375
mlp,102,-0.036748933972666896,0.49792081117630005,0.48828125
