layer,head,support_tokens,background_tokens,a_motif,a_bg,rho,passes_attention_enrichment
10,3,281915,281915,0.801701715570241,0.7175811407013678,1.1172279622436192,False
10,4,281915,281915,0.607535524159627,0.6581041048864051,0.923160210745826,False
10,5,281915,281915,0.3767676218298178,0.4451802669565447,0.8463259712870318,False
10,6,281915,281915,0.7903526194389471,0.8042716334928278,0.9826936404639405,False
10,7,281915,281915,0.9592744131680596,0.9672519486221417,0.9917523707598148,False
10,8,281915,281915,1.0661015601823274,1.054474960153496,1.0110259612301642,False
10,9,281915,281915,1.081778475520691,1.065923607938438,1.0148743000569405,False
10,10,281915,281915,0.8886548388238034,0.8927681804167842,0.995392598343883,False
10,11,281915,281915,0.6790335505491361,0.7346826056372583,0.9242542906812764,False
11,0,281915,281915,1.0655235057259245,1.0533828353899763,1.0115254112066991,False
11,1,281915,281915,0.8144753979681946,0.851084064017724,0.9569858400629541,False
11,2,281915,281915,0.9146159353297066,0.9274374586488927,0.9861753229831102,False
11,3,281915,281915,0.7451363781910475,0.7335399822425409,1.0158088123745548,False
11,4,281915,281915,0.8829529368465056,0.9015432238097667,0.9793794834542688,False
11,5,281915,281915,0.8120551464310977,0.8553861624524622,0.9493433282844663,False
11,6,281915,281915,0.836377078823141,0.8607550378788976,0.9716784009585008,False
11,7,281915,281915,0.8610384289848568,0.8759470301964948,0.9829800196841885,False
11,8,281915,281915,0.9884191918441213,1.0047048363463287,0.9837906179874368,False
11,9,281915,281915,1.0533856970047861,1.0380657329047565,1.0147581830460397,False
11,10,281915,281915,0.8950451470356249,0.9096125630973783,0.9839850320314959,False
11,11,281915,281915,0.6461144648197205,0.6728663097526527,0.960241961077281,False
