task,control,layer,auroc,auprc,accuracy,train_examples,test_examples,train_positive_rate,test_positive_rate,run,notes
splice_sites_donors,residual_probe_gc_shift_high_to_low,11,0.8431788001298434,0.7751562432882615,0.8116113744075829,12050,844,0.6178423236514523,0.38981042654028436,,distribution-shift control: train and test on opposite sides of the train-set GC-content 40/60 percentile split
splice_sites_acceptors,gc_content_only,11,0.6361053626007224,0.6342745451119713,0.5886666666666667,30000,3000,0.5010333333333333,0.49166666666666664,,"logistic control using GC fraction, GC skew, and sequence length only"
splice_sites_acceptors,position_only,11,0.4461234787440956,0.43956051508020555,0.49166666666666664,30000,3000,0.5010333333333333,0.49166666666666664,,logistic control using parsed chromosome/start/end/midpoint/length metadata only
splice_sites_acceptors,residual_probe_gc_matched_test,11,0.883752484918127,0.8968716067379277,0.8074576271186441,30000,2950,0.5010333333333333,0.5,,main residual probe evaluated on a balanced nearest-GC positive/negative test subset
splice_sites_acceptors,gc_content_only_gc_matched_test,11,0.6240551565642056,0.6343460543785578,0.5816949152542373,30000,2950,0.5010333333333333,0.5,,GC-only baseline evaluated on the same nearest-GC matched test subset
splice_sites_acceptors,random_label_residual_probe,11,0.5019487635454293,0.4740897437761295,0.49833333333333335,30000,3000,0.5010333333333333,0.49166666666666664,0.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_acceptors,random_label_residual_probe,11,0.4934210614059461,0.47862067714892265,0.5023333333333333,30000,3000,0.5010333333333333,0.49166666666666664,1.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_acceptors,random_label_residual_probe,11,0.5082149485968325,0.4857250826362156,0.5063333333333333,30000,3000,0.5010333333333333,0.49166666666666664,2.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_acceptors,random_label_residual_probe,11,0.5048891358710753,0.4757010831548429,0.5203333333333333,30000,3000,0.5010333333333333,0.49166666666666664,3.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_acceptors,random_label_residual_probe,11,0.49714565156988055,0.4779873138336327,0.486,30000,3000,0.5010333333333333,0.49166666666666664,4.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_acceptors,random_label_residual_probe,11,0.4922647402056127,0.472564720598436,0.49233333333333335,30000,3000,0.5010333333333333,0.49166666666666664,5.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_acceptors,random_label_residual_probe,11,0.504183606557377,0.4728666485521252,0.5036666666666667,30000,3000,0.5010333333333333,0.49166666666666664,6.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_acceptors,random_label_residual_probe,11,0.5020719088635732,0.47345758278584793,0.5063333333333333,30000,3000,0.5010333333333333,0.49166666666666664,7.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_acceptors,residual_probe_gc_shift_low_to_high,11,0.8580255553046184,0.8865918021334857,0.7339563862928349,12067,1605,0.4525565592110715,0.5769470404984424,,distribution-shift control: train and test on opposite sides of the train-set GC-content 40/60 percentile split
splice_sites_acceptors,residual_probe_gc_shift_high_to_low,11,0.8573309312638582,0.8310140371340313,0.802570093457944,12002,856,0.5787368771871355,0.38317757009345793,,distribution-shift control: train and test on opposite sides of the train-set GC-content 40/60 percentile split
